Location,PO,Sales_Invoice,Customer,RECdate,PMTdate,Item,cogs,Sale_Price,Unit_Hst,Rev,Sales_Date,COLLECTdate
2,8353,154,300,2020-03-22,2020-04-03,L22 Laser,20479.01,34814.31,6962.86,27851.45,2020-03-27,2020-04-16
3,8353,155,588,2020-03-22,2020-04-03,L22 Laser,20479.01,34814.31,6962.86,27851.45,2020-03-27,2020-04-16
2,8355,156,460,2020-03-26,2020-04-06,Spectrum Laser,23490.52,39933.88,7986.78,31947.1,2020-03-27,2020-04-13
1,8355,157,578,2020-03-26,2020-04-06,Spectrum Laser,23490.52,39933.88,7986.78,31947.1,2020-03-28,2020-04-13
1,8355,158,578,2020-03-26,2020-04-06,Spectrum Laser,23490.52,39933.88,7986.78,31947.1,2020-03-28,2020-04-16
2,8353,159,588,2020-03-22,2020-04-03,L22 Laser,20479.01,34814.31,6962.86,27851.45,2020-03-29,2020-04-14
4,8354,160,502,2020-03-31,2020-04-17,Revlite Laser,26068.78,44316.92,8863.38,35453.54,2020-04-02,2020-04-20
6,8354,161,578,2020-03-31,2020-04-17,Revlite Laser,26068.78,44316.92,8863.38,35453.54,2020-04-03,2020-04-23
4,8354,162,581,2020-03-31,2020-04-17,Revlite Laser,26068.78,44316.92,8863.38,35453.54,2020-04-05,2020-04-20
3,8354,163,581,2020-03-31,2020-04-17,Revlite Laser,26068.78,44316.92,8863.38,35453.54,2020-04-06,2020-04-24
5,8357,164,593,2020-04-08,2020-04-22,Vectus Laser,24983.37,42471.73,8494.35,33977.38,2020-04-10,2020-04-30
2,8357,165,593,2020-04-08,2020-04-22,Vectus Laser,24983.37,42471.73,8494.35,33977.38,2020-04-10,2020-04-30
4,8356,166,460,2020-04-10,2020-04-27,Vectus Laser,25665.74,41065.19,4106.52,36958.67,2020-04-11,2020-04-30
6,8358,167,494,2020-04-11,2020-04-24,L22 Laser,21078.65,35833.7,7166.74,28666.96,2020-04-12,2020-04-30
4,8356,168,410,2020-04-10,2020-04-27,Vectus Laser,25665.74,41065.19,4106.52,36958.67,2020-04-12,2020-05-01
1,8356,169,100,2020-04-10,2020-04-27,Vectus Laser,25665.74,41065.19,4106.52,36958.67,2020-04-12,2020-05-02
6,8357,170,300,2020-04-08,2020-04-22,Vectus Laser,24983.37,42471.73,8494.35,33977.38,2020-04-13,2020-05-03
5,8358,171,410,2020-04-11,2020-04-24,L22 Laser,21078.65,35833.7,7166.74,28666.96,2020-04-14,2020-04-30
4,8357,172,502,2020-04-08,2020-04-22,Vectus Laser,24983.37,42471.73,8494.35,33977.38,2020-04-15,2020-05-05
1,8356,173,502,2020-04-10,2020-04-27,Vectus Laser,25665.74,41065.19,4106.52,36958.67,2020-04-16,2020-05-06
3,8358,174,570,2020-04-11,2020-04-24,L22 Laser,21078.65,35833.7,7166.74,28666.96,2020-04-18,2999-12-31
6,8358,175,300,2020-04-11,2020-04-24,L22 Laser,21078.65,35833.7,7166.74,28666.96,2020-04-19,2020-05-04
6,8359,176,593,2020-04-17,2020-05-03,Spectrum Laser,22366.2,35785.93,3578.59,32207.33,2020-04-19,2020-05-04
6,8360,177,588,2020-04-18,2020-05-07,L22 Laser,20224.09,32358.55,3235.85,29122.69,2020-04-23,2020-05-10
4,8359,178,570,2020-04-17,2020-05-03,Spectrum Laser,22366.2,35785.93,3578.59,32207.33,2020-04-23,2020-05-11
4,8360,179,100,2020-04-18,2020-05-07,L22 Laser,20224.09,32358.55,3235.85,29122.69,2020-04-24,2020-05-11
3,8359,180,410,2020-04-17,2020-05-03,Spectrum Laser,22366.2,35785.93,3578.59,32207.33,2020-04-24,2020-05-12
1,8363,181,460,2020-04-25,2020-05-09,Revlite Laser,26414.2,44904.14,8980.83,35923.31,2020-04-27,2020-05-12
5,8360,182,220,2020-04-18,2020-05-07,L22 Laser,20224.09,32358.55,3235.85,29122.69,2020-04-28,2020-05-13
5,8363,183,590,2020-04-25,2020-05-09,Revlite Laser,26414.2,44904.14,8980.83,35923.31,2020-04-28,2020-05-13
5,8362,184,494,2020-04-26,2020-05-10,Revlite Laser,25897.17,44025.19,8805.04,35220.15,2020-04-28,2020-05-14
2,8363,185,588,2020-04-25,2020-05-09,Revlite Laser,26414.2,44904.14,8980.83,35923.31,2020-04-29,2020-05-16
2,8363,186,593,2020-04-25,2020-05-09,Revlite Laser,26414.2,44904.14,8980.83,35923.31,2020-04-30,2020-05-17
2,8362,187,588,2020-04-26,2020-05-10,Revlite Laser,25897.17,44025.19,8805.04,35220.15,2020-04-30,2020-05-18
1,8362,188,578,2020-04-26,2020-05-10,Revlite Laser,25897.17,44025.19,8805.04,35220.15,2020-05-02,2020-05-22
1,8362,189,578,2020-04-26,2020-05-10,Revlite Laser,25897.17,44025.19,8805.04,35220.15,2020-05-06,2020-05-22
6,8364,190,460,2020-05-05,2020-05-21,L22 Laser,21607.8,34572.48,3457.25,31115.23,2020-05-08,2020-05-24
2,8356,191,494,2020-04-10,2020-04-27,Vectus Laser,25665.74,41065.19,4106.52,36958.67,2020-05-08,2020-05-25
1,8364,192,300,2020-05-05,2020-05-21,L22 Laser,21607.8,34572.48,3457.25,31115.23,2020-05-10,2020-05-27
1,8364,193,570,2020-05-05,2020-05-21,L22 Laser,21607.8,34572.48,3457.25,31115.23,2020-05-11,2020-05-29
6,8364,194,500,2020-05-05,2020-05-21,L22 Laser,21607.8,34572.48,3457.25,31115.23,2020-05-12,2020-05-27
5,8365,195,480,2020-05-12,2020-05-25,Revlite Laser,25343.22,43083.47,8616.69,34466.78,2020-05-14,2020-05-31
3,8361,196,578,2020-04-16,2020-04-27,Vectus Laser,25084.77,40135.63,4013.56,36122.06,2020-05-16,2020-06-02
4,8365,197,591,2020-05-12,2020-05-25,Revlite Laser,25343.22,43083.47,8616.69,34466.78,2020-05-17,2020-06-04
2,8365,198,578,2020-05-12,2020-05-25,Revlite Laser,25343.22,43083.47,8616.69,34466.78,2020-05-18,2020-06-07
3,8361,199,500,2020-04-16,2020-04-27,Vectus Laser,25084.77,40135.63,4013.56,36122.06,2020-05-22,2020-06-06
6,8367,200,580,2020-05-21,2020-06-07,Spectrum Laser,22983.16,39071.37,7814.27,31257.09,2020-05-24,2020-06-08
5,8367,201,480,2020-05-21,2020-06-07,Spectrum Laser,22983.16,39071.37,7814.27,31257.09,2020-05-25,2020-06-13
1,8367,202,480,2020-05-21,2020-06-07,Spectrum Laser,22983.16,39071.37,7814.27,31257.09,2020-05-25,2020-06-11
3,8367,203,220,2020-05-21,2020-06-07,Spectrum Laser,22983.16,39071.37,7814.27,31257.09,2020-05-28,2020-06-12
4,8367,204,410,2020-05-21,2020-06-07,Spectrum Laser,22983.16,39071.37,7814.27,31257.09,2020-05-28,2020-06-13
4,8372,205,480,2020-05-27,2020-06-16,Q Laser,31645.44,50632.7,10126.54,40506.16,2020-05-29,2020-06-17
1,8372,206,591,2020-05-27,2020-06-16,Q Laser,31645.44,50632.7,10126.54,40506.16,2020-05-29,2020-06-13
3,8365,207,500,2020-05-12,2020-05-25,Revlite Laser,25343.22,43083.47,8616.69,34466.78,2020-05-29,2020-06-14
4,8372,208,588,2020-05-27,2020-06-16,Q Laser,31645.44,50632.7,10126.54,40506.16,2020-05-30,2020-06-19
1,8368,209,570,2020-05-26,2020-06-15,Revlite Laser,25907.53,41452.04,4145.2,37306.84,2020-05-30,2020-06-17
1,8366,210,593,2020-05-27,2020-06-14,Spectrum Laser,22546.27,36074.03,3607.4,32466.63,2020-06-02,2020-06-22
1,8366,211,591,2020-05-27,2020-06-14,Spectrum Laser,22546.27,36074.03,3607.4,32466.63,2020-06-02,2020-06-19
3,8372,212,590,2020-05-27,2020-06-16,Q Laser,31645.44,50632.7,10126.54,40506.16,2020-06-03,2020-06-21
1,8366,213,578,2020-05-27,2020-06-14,Spectrum Laser,22546.27,36074.03,3607.4,32466.63,2020-06-03,2020-06-22
4,8366,214,580,2020-05-27,2020-06-14,Spectrum Laser,22546.27,36074.03,3607.4,32466.63,2020-06-03,2020-06-21
6,8368,215,494,2020-05-26,2020-06-15,Revlite Laser,25907.53,41452.04,4145.2,37306.84,2020-06-05,2020-06-20
1,8361,216,502,2020-04-16,2020-04-27,Vectus Laser,25084.77,40135.63,4013.56,36122.06,2020-06-06,2020-06-23
2,8371,217,591,2020-06-01,2020-06-14,Vectus Laser,25108.78,42684.93,8536.99,34147.94,2020-06-07,2020-06-22
6,8370,218,502,2020-06-04,2020-06-19,Spectrum Laser,23508.64,37613.82,3761.38,33852.44,2020-06-09,2020-06-28
3,8370,219,580,2020-06-04,2020-06-19,Spectrum Laser,23508.64,37613.82,3761.38,33852.44,2020-06-09,2020-06-29
6,8370,220,300,2020-06-04,2020-06-19,Spectrum Laser,23508.64,37613.82,3761.38,33852.44,2020-06-10,2020-06-29
1,8370,221,502,2020-06-04,2020-06-19,Spectrum Laser,23508.64,37613.82,3761.38,33852.44,2020-06-10,2020-06-26
2,8371,222,591,2020-06-01,2020-06-14,Vectus Laser,25108.78,42684.93,8536.99,34147.94,2020-06-10,2020-06-27
5,8371,223,480,2020-06-01,2020-06-14,Vectus Laser,25108.78,42684.93,8536.99,34147.94,2020-06-11,2020-07-01
5,8371,224,220,2020-06-01,2020-06-14,Vectus Laser,25108.78,42684.93,8536.99,34147.94,2020-06-11,2020-06-29
5,8371,225,220,2020-06-01,2020-06-14,Vectus Laser,25108.78,42684.93,8536.99,34147.94,2020-06-11,2020-06-29
2,8368,226,494,2020-05-26,2020-06-15,Revlite Laser,25907.53,41452.04,4145.2,37306.84,2020-06-12,2020-07-02
1,8368,227,593,2020-05-26,2020-06-15,Revlite Laser,25907.53,41452.04,4145.2,37306.84,2020-06-18,2020-07-03
1,8373,228,100,2020-06-14,2020-06-26,Spectrum Laser,22674.28,38546.27,7709.25,30837.02,2020-06-18,2020-07-05
4,8369,229,570,2020-06-07,2020-06-25,Vectus Laser,26290.08,44693.14,8938.63,35754.51,2020-06-18,2020-07-07
3,8373,230,535,2020-06-14,2020-06-26,Spectrum Laser,22674.28,38546.27,7709.25,30837.02,2020-06-20,2020-07-09
6,8377,231,100,2020-06-22,2020-07-10,Revlite Laser,26476.4,45009.87,9001.97,36007.9,2020-06-22,2020-07-12
1,8375,232,300,2020-06-22,2020-07-03,L22 Laser,21550.81,36636.37,7327.27,29309.1,2020-06-25,2020-07-10
5,8375,233,535,2020-06-22,2020-07-03,L22 Laser,21550.81,36636.37,7327.27,29309.1,2020-06-26,2020-07-14
6,8375,234,588,2020-06-22,2020-07-03,L22 Laser,21550.81,36636.37,7327.27,29309.1,2020-06-27,2020-07-16
6,8375,235,580,2020-06-22,2020-07-03,L22 Laser,21550.81,36636.37,7327.27,29309.1,2020-06-27,2020-07-14
1,8375,236,581,2020-06-22,2020-07-03,L22 Laser,21550.81,36636.37,7327.27,29309.1,2020-06-29,2020-07-14
5,8378,237,593,2020-06-27,2020-07-13,L22 Laser,21061.94,35805.31,7161.06,28644.25,2020-06-30,2020-07-18
2,8377,238,570,2020-06-22,2020-07-10,Revlite Laser,26476.4,45009.87,9001.97,36007.9,2020-07-01,2020-07-16
6,8378,239,593,2020-06-27,2020-07-13,L22 Laser,21061.94,35805.31,7161.06,28644.25,2020-07-03,2020-07-22
4,8378,240,593,2020-06-27,2020-07-13,L22 Laser,21061.94,35805.31,7161.06,28644.25,2020-07-03,2020-07-18
3,8378,241,300,2020-06-27,2020-07-13,L22 Laser,21061.94,35805.31,7161.06,28644.25,2020-07-04,2020-07-20
5,8373,242,220,2020-06-14,2020-06-26,Spectrum Laser,22674.28,38546.27,7709.25,30837.02,2020-07-06,2020-07-24
6,8377,243,220,2020-06-22,2020-07-10,Revlite Laser,26476.4,45009.87,9001.97,36007.9,2020-07-07,2020-07-25
6,8373,244,100,2020-06-14,2020-06-26,Spectrum Laser,22674.28,38546.27,7709.25,30837.02,2020-07-08,2020-07-23
6,8369,245,578,2020-06-07,2020-06-25,Vectus Laser,26290.08,44693.14,8938.63,35754.51,2020-07-10,2020-07-30
4,8383,246,480,2020-07-10,2020-08-02,Q Laser,31257.01,50011.21,10002.24,40008.97,2020-07-12,2020-07-31
5,8377,247,580,2020-06-22,2020-07-10,Revlite Laser,26476.4,45009.87,9001.97,36007.9,2020-07-12,2020-07-28
1,8383,248,535,2020-07-10,2020-08-02,Q Laser,31257.01,50011.21,10002.24,40008.97,2020-07-13,2020-07-28
2,8383,249,578,2020-07-10,2020-08-02,Q Laser,31257.01,50011.21,10002.24,40008.97,2020-07-18,2020-08-06
1,8381,250,410,2020-07-15,2020-08-01,Revlite Laser,26396.9,42235.03,4223.5,38011.53,2020-07-18,2020-08-02
3,8369,251,460,2020-06-07,2020-06-25,Vectus Laser,26290.08,44693.14,8938.63,35754.51,2020-07-18,2020-08-04
5,8381,252,480,2020-07-15,2020-08-01,Revlite Laser,26396.9,42235.03,4223.5,38011.53,2020-07-19,2020-08-03
3,8373,253,100,2020-06-14,2020-06-26,Spectrum Laser,22674.28,38546.27,7709.25,30837.02,2020-07-19,2020-08-06
3,8381,254,535,2020-07-15,2020-08-01,Revlite Laser,26396.9,42235.03,4223.5,38011.53,2020-07-20,2020-08-07
4,8374,255,100,2020-06-14,2020-06-30,Spectrum Laser,22720.58,38624.99,7725,30900,2020-07-22,2020-08-08
3,8380,256,502,2020-07-14,2020-07-25,Vectus Laser,26120.86,41793.37,4179.34,37614.03,2020-07-24,2020-08-12
4,8382,257,580,2020-07-23,2020-08-04,L22 Laser,20823.21,33317.13,3331.71,29985.42,2020-07-25,2020-08-09
2,8382,258,460,2020-07-23,2020-08-04,L22 Laser,20823.21,33317.13,3331.71,29985.42,2020-07-25,2020-08-10
1,8381,259,100,2020-07-15,2020-08-01,Revlite Laser,26396.9,42235.03,4223.5,38011.53,2020-07-28,2020-08-14
4,8384,260,500,2020-07-25,2020-08-06,Revlite Laser,25413.39,40661.43,4066.14,36595.29,2020-07-29,2020-08-16
3,8380,261,580,2020-07-14,2020-07-25,Vectus Laser,26120.86,41793.37,4179.34,37614.03,2020-07-29,2020-08-18
3,8382,262,500,2020-07-23,2020-08-04,L22 Laser,20823.21,33317.13,3331.71,29985.42,2020-07-30,2020-08-17
4,8382,263,591,2020-07-23,2020-08-04,L22 Laser,20823.21,33317.13,3331.71,29985.42,2020-07-30,2020-08-19
3,8384,264,578,2020-07-25,2020-08-06,Revlite Laser,25413.39,40661.43,4066.14,36595.29,2020-08-02,2020-08-20
3,8374,265,535,2020-06-14,2020-06-30,Spectrum Laser,22720.58,38624.99,7725,30900,2020-08-03,2020-08-22
3,8386,266,535,2020-08-03,2020-08-15,L22 Laser,20482.02,32771.23,3277.12,29494.11,2020-08-05,2020-08-24
3,8386,267,220,2020-08-03,2020-08-15,L22 Laser,20482.02,32771.23,3277.12,29494.11,2020-08-07,2999-12-31
2,8386,268,581,2020-08-03,2020-08-15,L22 Laser,20482.02,32771.23,3277.12,29494.11,2020-08-07,2020-08-23
2,8386,269,460,2020-08-03,2020-08-15,L22 Laser,20482.02,32771.23,3277.12,29494.11,2020-08-08,2020-08-23
1,8384,270,591,2020-07-25,2020-08-06,Revlite Laser,25413.39,40661.43,4066.14,36595.29,2020-08-12,2020-08-29
4,8374,271,502,2020-06-14,2020-06-30,Spectrum Laser,22720.58,38624.99,7725,30900,2020-08-12,2020-08-28
2,8374,272,580,2020-06-14,2020-06-30,Spectrum Laser,22720.58,38624.99,7725,30900,2020-08-12,2020-08-29
6,8376,273,581,2020-06-23,2020-07-07,Spectrum Laser,23115.38,36984.62,3698.46,33286.15,2020-08-14,2020-09-03
6,8387,274,494,2020-08-13,2020-08-29,L22 Laser,20412.47,32659.95,3266,29393.96,2020-08-15,2020-09-03
5,8387,275,500,2020-08-13,2020-08-29,L22 Laser,20412.47,32659.95,3266,29393.96,2020-08-15,2020-09-01
4,8389,276,502,2020-08-14,2020-08-27,L22 Laser,20914.59,35554.8,7110.96,28443.84,2020-08-15,2020-09-01
5,8384,277,593,2020-07-25,2020-08-06,Revlite Laser,25413.39,40661.43,4066.14,36595.29,2020-08-16,2020-09-03
5,8387,278,588,2020-08-13,2020-08-29,L22 Laser,20412.47,32659.95,3266,29393.96,2020-08-18,2020-09-05
4,8384,279,581,2020-07-25,2020-08-06,Revlite Laser,25413.39,40661.43,4066.14,36595.29,2020-08-18,2020-09-04
6,8387,280,580,2020-08-13,2020-08-29,L22 Laser,20412.47,32659.95,3266,29393.96,2020-08-19,2020-09-07
6,8387,281,570,2020-08-13,2020-08-29,L22 Laser,20412.47,32659.95,3266,29393.96,2020-08-20,2020-09-04
5,8389,282,593,2020-08-14,2020-08-27,L22 Laser,20914.59,35554.8,7110.96,28443.84,2020-08-22,2020-09-09
1,8376,283,591,2020-06-23,2020-07-07,Spectrum Laser,23115.38,36984.62,3698.46,33286.15,2020-08-22,2020-09-09
3,8380,284,300,2020-07-14,2020-07-25,Vectus Laser,26120.86,41793.37,4179.34,37614.03,2020-08-22,2020-09-11
6,8380,285,460,2020-07-14,2020-07-25,Vectus Laser,26120.86,41793.37,4179.34,37614.03,2020-08-24,2020-09-10
4,8376,286,570,2020-06-23,2020-07-07,Spectrum Laser,23115.38,36984.62,3698.46,33286.15,2020-08-25,2020-09-11
4,8393,287,220,2020-08-22,2020-09-16,Q Laser,31653.71,50645.94,10129.19,40516.75,2020-08-26,2020-09-13
1,8389,288,588,2020-08-14,2020-08-27,L22 Laser,20914.59,35554.8,7110.96,28443.84,2020-08-27,2020-09-13
6,8393,289,460,2020-08-22,2020-09-16,Q Laser,31653.71,50645.94,10129.19,40516.75,2020-08-28,2020-09-16
6,8385,290,535,2020-07-28,2020-08-15,Revlite Laser,24975.99,39961.59,3996.16,35965.43,2020-08-28,2020-09-12
3,8376,291,570,2020-06-23,2020-07-07,Spectrum Laser,23115.38,36984.62,3698.46,33286.15,2020-08-30,2020-09-18
4,8389,292,591,2020-08-14,2020-08-27,L22 Laser,20914.59,35554.8,7110.96,28443.84,2020-08-31,2020-09-17
3,8385,293,460,2020-07-28,2020-08-15,Revlite Laser,24975.99,39961.59,3996.16,35965.43,2020-09-03,2020-09-22
4,8390,294,593,2020-08-22,2020-09-05,L22 Laser,21606.7,36731.39,7346.28,29385.11,2020-09-04,2020-09-19
5,8379,295,580,2020-07-08,2020-07-18,Spectrum Laser,23696.23,37913.97,3791.4,34122.58,2020-09-04,2020-09-22
1,8379,296,570,2020-07-08,2020-07-18,Spectrum Laser,23696.23,37913.97,3791.4,34122.58,2020-09-04,2020-09-24
6,8391,297,502,2020-09-04,2020-09-20,Vectus Laser,26006.28,44210.68,8842.14,35368.55,2020-09-04,2020-09-19
1,8391,298,581,2020-09-04,2020-09-20,Vectus Laser,26006.28,44210.68,8842.14,35368.55,2020-09-08,2020-09-28
6,8391,299,300,2020-09-04,2020-09-20,Vectus Laser,26006.28,44210.68,8842.14,35368.55,2020-09-09,2020-09-28
6,8385,300,300,2020-07-28,2020-08-15,Revlite Laser,24975.99,39961.59,3996.16,35965.43,2020-09-11,2020-09-27
4,8399,301,500,2020-09-08,2020-09-30,Q Laser,31258.06,50012.9,10002.58,40010.32,2020-09-12,2020-09-29
4,8390,302,220,2020-08-22,2020-09-05,L22 Laser,21606.7,36731.39,7346.28,29385.11,2020-09-13,2020-10-01
2,8397,303,220,2020-09-09,2020-10-02,Q Laser,32191.29,48286.94,4828.69,43458.25,2020-09-13,2020-09-28
2,8397,304,578,2020-09-09,2020-10-02,Q Laser,32191.29,48286.94,4828.69,43458.25,2020-09-13,2020-10-01
6,8399,305,500,2020-09-08,2020-09-30,Q Laser,31258.06,50012.9,10002.58,40010.32,2020-09-14,2020-09-29
5,8399,306,593,2020-09-08,2020-09-30,Q Laser,31258.06,50012.9,10002.58,40010.32,2020-09-14,2020-10-01
5,8397,307,300,2020-09-09,2020-10-02,Q Laser,32191.29,48286.94,4828.69,43458.25,2020-09-17,2020-10-06
2,8379,308,580,2020-07-08,2020-07-18,Spectrum Laser,23696.23,37913.97,3791.4,34122.58,2020-09-18,2020-10-06
3,8388,309,590,2020-08-15,2020-09-02,Spectrum Laser,22158.61,37669.63,7533.93,30135.71,2020-09-18,2020-10-07
4,8391,310,220,2020-09-04,2020-09-20,Vectus Laser,26006.28,44210.68,8842.14,35368.55,2020-09-18,2020-10-06
3,8397,311,578,2020-09-09,2020-10-02,Q Laser,32191.29,48286.94,4828.69,43458.25,2020-09-21,2020-10-07
2,8388,312,590,2020-08-15,2020-09-02,Spectrum Laser,22158.61,37669.63,7533.93,30135.71,2020-09-21,2020-10-06
4,8390,313,460,2020-08-22,2020-09-05,L22 Laser,21606.7,36731.39,7346.28,29385.11,2020-09-22,2020-10-07
